IKResults
version=1
nRows=3565
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
      7.23000000	      6.25242299	   -168.76627353	      5.32954483	      0.15634020	      1.44595863	      0.05246623	    -33.56934875	     -0.31597401	      2.07726476	     44.80938392	      6.72983705	     -3.55748557	     -3.33864532	     12.01132850	     21.48846011	     23.86852627	    115.39319645
      7.24000000	      6.29821516	   -168.78151007	      5.18144576	      0.15634621	      1.44609957	      0.05267645	    -33.73186331	     -0.33347243	      2.01406520	     45.10472604	      6.43420436	     -3.40498879	     -3.90960587	     13.24241638	     21.16198692	     24.06372759	    115.48713191
      7.25000000	      6.22453356	   -168.80368349	      5.33362568	      0.15669069	      1.44599097	      0.05244088	    -33.75302097	     -0.22067281	      2.14106901	     45.07845136	      6.60052734	     -3.39664678	     -3.94681997	     13.40518454	     21.12654022	     24.04310743	    115.48378037
      7.26000000	      6.28032676	   -168.82180583	      5.16330854	      0.15668296	      1.44614619	      0.05264013	    -33.91795200	     -0.23714719	      2.09074515	     45.40036359	      6.32401327	     -3.23010534	     -4.53408945	     14.71130769	     20.73580732	     24.26173091	    115.59168833
      7.27000000	      6.23978177	   -168.80494697	      5.18518288	      0.15693657	      1.44632685	      0.05259594	    -33.95556350	     -0.27177329	      3.06083134	     46.33174726	      5.39352032	     -2.78064768	    -10.57443155	     15.85612651	     24.22570498	     24.98426747	    120.83012790
      7.28000000	      6.24080099	   -168.85647856	      5.16570209	      0.15706200	      1.44632255	      0.05258576	    -34.03485326	     -0.19689469	      3.13804001	     46.49434476	      5.34199420	     -2.64640587	    -10.76035041	     16.65885187	     23.98342688	     25.11779360	    120.64135343
      7.29000000	      6.22175094	   -168.87341504	      5.16223009	      0.15726528	      1.44636901	      0.05252019	    -34.11083040	     -0.13699880	      3.21161942	     46.65473295	      5.30963854	     -2.53268837	    -10.96493561	     17.46531979	     23.68214874	     25.19499894	    120.48201115
      7.30000000	      6.20533790	   -168.89548712	      5.15738124	      0.15745301	      1.44642568	      0.05246075	    -34.19078706	     -0.07831901	      3.29623524	     46.81347369	      5.29823821	     -2.42135421	    -11.15133395	     18.27255396	     23.35077051	     25.28577980	    120.35022395
      7.31000000	      6.19004730	   -168.91590190	      5.17406596	      0.15766735	      1.44639761	      0.05240959	    -34.26364178	     -0.00274740	      3.37929807	     46.96957679	      5.29609062	     -2.31759957	    -11.30863640	     19.07472046	     22.99868105	     25.37984844	    120.24784963
      7.32000000	      6.17366497	   -168.93762806	      5.16166051	      0.15784212	      1.44648983	      0.05234984	    -34.33802774	      0.05370588	      3.47385242	     47.10903391	      5.31204986	     -2.21374575	    -11.44856987	     19.90638069	     22.60551317	     25.46269903	    120.16697085
      7.33000000	      6.15698933	   -168.96052230	      5.16360244	      0.15802439	      1.44652740	      0.05228596	    -34.40649242	      0.12085577	      3.56887333	     47.24547910	      5.33661600	     -2.11477400	    -11.55491302	     20.73967299	     22.18726000	     25.54859476	    120.10779088
      7.34000000	      6.13733309	   -168.98127983	      5.18743739	      0.15824861	      1.44649132	      0.05220008	    -34.46461274	      0.20146170	      3.66273890	     47.37897872	      5.37103336	     -2.02472731	    -11.62373550	     21.56830751	     21.74500850	     25.63121493	    120.06875535
      7.35000000	      6.12202829	   -169.00463085	      5.17194003	      0.15840567	      1.44661028	      0.05213183	    -34.52491821	      0.25823249	      3.76985705	     47.48572045	      5.43143006	     -1.94083602	    -11.66443752	     22.41739574	     21.26373935	     25.69353531	    120.04649527
