IKResults
version=1
nRows=6338
nColumns=18
inDegrees=yes

Units are S.I. units (second, meters, Newtons, ...)
If the header above contains a line with 'inDegrees', this indicates whether rotational values are in degrees (yes) or radians (no).

endheader
time	TH_x	TH_y	TH_z	TH_x_trans	TH_y_trans	TH_z_trans	SC_y	SC_z	SC_x	AC_y	AC_z	AC_x	GH_y	GH_z	GH_yy	EL_x	PS_y
     10.85000000	      3.54477008	   -173.95283528	     -1.38245029	      0.09330148	      1.17294190	     -0.21217110	    -27.30903449	     -2.75718840	      2.68685845	     73.50182523	     21.61545002	      4.45637043	     69.48325587	     40.52083339	    -72.82293576	     22.92171933	     34.84674286
     10.86000000	      3.54124372	   -173.99846004	     -1.35875520	      0.09302598	      1.17290396	     -0.21209913	    -27.36872217	     -2.74825249	      2.70080089	     73.44820426	     21.62804639	      4.43937972	     69.44554519	     40.50937903	    -72.82293576	     22.91245273	     34.84600526
     10.87000000	      3.58081697	   -173.56945419	     -1.08862913	      0.09289271	      1.17264331	     -0.21227010	    -27.90728973	     -2.84811890	      2.68837641	     73.18110909	     21.45010590	      4.69198442	     69.42020880	     40.43204768	    -72.82293576	     22.90282758	     34.96001421
     10.88000000	      3.57151148	   -173.62646018	     -1.06057536	      0.09262873	      1.17262079	     -0.21221043	    -27.97061055	     -2.83065395	      2.70876609	     73.12250998	     21.47189416	      4.66615825	     69.37624816	     40.41768273	    -72.82293576	     22.89227704	     34.96027457
     10.89000000	      3.59814855	   -173.31437334	     -0.83113085	      0.09253545	      1.17233402	     -0.21236621	    -28.40203652	     -2.85780280	      2.71594138	     72.92559692	     21.35009009	      4.85133770	     69.30739145	     40.37791108	    -72.82293576	     22.84818983	     35.13372389
     10.90000000	      3.58431350	   -173.38139707	     -0.80206616	      0.09227330	      1.17231144	     -0.21227984	    -28.47362995	     -2.83928724	      2.73980529	     72.85741574	     21.37598709	      4.82109893	     69.25588486	     40.36115303	    -72.82293576	     22.83512135	     35.13467491
     10.91000000	      3.60857165	   -173.30106455	     -0.57001749	      0.09216291	      1.17195998	     -0.21228426	    -28.71318254	     -2.81183692	      2.72606563	     72.72100529	     21.28786577	      4.93724753	     69.17149520	     40.40347118	    -72.82293576	     22.78958454	     35.22083838
     10.92000000	      3.58406931	   -173.36881772	     -0.54573976	      0.09193273	      1.17197665	     -0.21225628	    -28.79712108	     -2.80147123	      2.75963457	     72.63492722	     21.32082091	      4.90947353	     69.10701794	     40.38637950	    -72.82293576	     22.77102896	     35.22349701
     10.93000000	      3.48887910	   -172.93668032	     -0.30659802	      0.09189634	      1.17170935	     -0.21252005	    -29.33866338	     -2.75482294	      2.73039197	     72.33424985	     21.11951719	      5.15110298	     69.02811303	     40.30964287	    -72.82293576	     22.67128602	     35.65004454
     10.94000000	      3.46743757	   -173.01591682	     -0.27247135	      0.09171702	      1.17174329	     -0.21250538	    -29.42138755	     -2.73467262	      2.77350276	     72.24295803	     21.16410364	      5.11695800	     68.95514367	     40.29404441	    -72.82293576	     22.65114264	     35.65389025
     10.95000000	      3.49535384	   -172.89025197	     -0.16685918	      0.09157282	      1.17142021	     -0.21273135	    -29.62617449	     -2.58293521	      2.97613471	     72.18909244	     20.81317239	      5.58533740	     68.22068078	     39.99215230	    -72.82293576	     22.26410060	     40.37176846
     10.96000000	      3.46380419	   -172.97904759	     -0.12196655	      0.09143072	      1.17143910	     -0.21268213	    -29.71784070	     -2.55833734	      3.02061905	     72.09028408	     20.85969881	      5.54791463	     68.14126408	     39.98045611	    -72.82293576	     22.24669097	     40.36878994
     10.97000000	      3.43743522	   -172.81222430	      0.09455396	      0.09153979	      1.17112880	     -0.21299525	    -29.88588123	     -2.50621189	      2.99636818	     71.81558232	     20.74542811	      5.63532829	     67.90624582	     40.05963248	    -72.82293576	     22.10909818	     40.42312918
     10.98000000	      3.39594090	   -172.90824173	      0.14386510	      0.09140238	      1.17115118	     -0.21294301	    -29.98395127	     -2.47832348	      3.04945137	     71.70987486	     20.79999063	      5.59853086	     67.82259542	     40.04965954	    -72.82293576	     22.09043404	     40.42271447
     10.99000000	      3.32210439	   -172.73549786	      0.33972068	      0.09151662	      1.17081554	     -0.21330038	    -30.16711644	     -2.34956272	      3.04342650	     71.39532068	     20.67582612	      5.72843152	     67.62800370	     40.12310312	    -72.82293576	     21.88732774	     40.61186846
     11.00000000	      3.27816086	   -172.83873979	      0.39184592	      0.09142827	      1.17085156	     -0.21322307	    -30.26955146	     -2.31871520	      3.10360851	     71.28171873	     20.73788888	      5.68919720	     67.53824157	     40.11362185	    -72.82293576	     21.86703846	     40.61371991
     11.01000000	      3.22001779	   -172.78213106	      0.48887385	      0.09149574	      1.17051228	     -0.21360460	    -30.25888843	     -2.09749427	      3.20832935	     70.91167090	     20.42379927	      5.87754807	     66.99405400	     40.19400929	    -72.82293576	     21.45638995	     45.04367036
     11.02000000	      3.17262795	   -172.84452559	      0.59867819	      0.09154795	      1.17042077	     -0.21365180	    -30.34795352	     -2.03268531	      3.29104471	     70.78297684	     20.50019077	      5.85047116	     66.87746744	     40.18608904	    -72.82293576	     21.40059029	     45.04519945
     11.03000000	      3.13870436	   -172.85141826	      0.72753609	      0.09170452	      1.17028448	     -0.21381157	    -30.42886130	     -1.94968165	      3.37229678	     70.60320183	     20.55371638	      5.85181263	     66.71077258	     40.19631115	    -72.82293576	     21.27662288	     45.06040645
     11.04000000	      3.07373946	   -172.78613257	      0.82645601	      0.09167222	      1.17011170	     -0.21404853	    -30.55702648	     -1.83785991	      3.38726645	     70.30237907	     20.44891582	      6.00160777	     66.45573820	     40.29993915	    -72.82293576	     21.00160638	     45.19258287
     11.05000000	      3.02182842	   -172.85476911	      0.94279502	      0.09181725	      1.17000473	     -0.21409109	    -30.63596815	     -1.73990492	      3.48380201	     70.15926274	     20.54279525	      5.96126935	     66.33778508	     40.30341608	    -72.82293576	     20.94999860	     45.22360614
     11.06000000	      2.94552328	   -172.88195575	      0.97613101	      0.09182781	      1.16982426	     -0.21440626	    -30.56097291	     -1.55140054	      3.54284315	     69.76479785	     20.27426885	      6.11285788	     65.73620685	     40.47505687	    -72.82293576	     20.51588809	     49.91524446
     11.07000000	      2.87811421	   -172.99662328	      1.04035108	      0.09179341	      1.16988029	     -0.21429900	    -30.67443202	     -1.52124113	      3.62840783	     69.63428047	     20.35890140	      6.08128962	     65.62570661	     40.48045686	    -72.82293576	     20.49399206	     49.91134291
